Note. A total of 2904 bursts have been collected by the end of March 2022, 
comprising the arrival time, fluences and references/telescopes for  each.
*: For detections where the fluences were not reported in the literature, 
we have used a fluence of 1 Jy ms.

FAST (Xu et al. 2022, Nature, 609, 685)
Burst	TOA (MJD)	Fluece (Jy ms)
866	59324.36117	0.0437
867	59324.37121	2.8795
868	59324.37333	2.8054
869	59324.37453	0.7648
870	59324.37545	0.6738
871	59324.37581	3.3394
872	59324.37682	0.0715
873	59324.38447	0.272
874	59324.38535	0.5501
875	59324.38832	0.201
876	59324.38844	0.1104
877	59324.38844	0.5054
878	59324.38993	2.4526
879	59324.39015	0.0872
880	59324.39154	0.1502
881	59324.39266	1.5829
882	59324.39426	0.459
883	59324.39426	1.2635
884	59324.40011	2.5821
885	59324.40344	2.0037
886	59324.40366	0.0982
887	59324.40663	0.2499
888	59324.4071	0.3168
889	59324.40947	4.644
890	59324.41015	0.1341
891	59324.41507	0.12
892	59324.4163	0.3606
893	59324.41773	0.4904
894	59325.24725	1.351
895	59325.24775	6.9056
896	59325.25025	0.8166
897	59325.25261	0.1053
898	59325.25331	1.7275
899	59325.25343	0.0834
900	59325.25391	1.5613
901	59325.25622	0.2646
902	59325.25622	0.1216
903	59325.25676	0.0974
904	59325.26298	1.0718
905	59325.26413	0.1096
906	59325.26413	1.2661
907	59325.26425	1.5448
908	59325.2644	0.952
909	59325.28568	1.559
910	59325.28574	0.063
911	59325.28574	0.1349
912	59325.28973	0.2954
913	59325.29408	0.1594
914	59325.3055	2.3058
915	59325.3285	0.1077
916	59325.3286	0.3741
917	59325.32861	8.8066
918	59325.33183	1.9992
919	59325.33274	0.288
920	59325.33587	0.1443
921	59325.34022	0.233
922	59325.34037	0.3496
923	59325.34039	2.2006
924	59325.3417	1.0733
925	59325.34614	0.0408
926	59325.34721	0.5893
927	59325.36905	2.156
928	59325.3705	0.1728
929	59325.37209	0.0299
930	59325.37393	0.3683
931	59325.37556	3.4242
932	59325.37558	1.2075
933	59325.37591	0.0469
934	59325.37963	1.8266
935	59325.37967	2.0387
936	59325.38022	1.0269
937	59325.38175	2.2475
938	59325.38298	0.2427
939	59325.38331	0.168
940	59325.385	0.5102
941	59325.38534	0.4664
942	59325.38639	0.3357
943	59325.38797	0.0555
944	59326.22369	0.0734
945	59326.22429	2.0688
946	59326.22522	1.0478
947	59326.22648	1.0496
948	59326.22943	0.0686
949	59326.23031	3.2613
950	59326.23066	2.6805
951	59326.23467	0.0912
952	59326.23592	0.1426
953	59326.24219	3.9992
954	59326.24223	0.2173
955	59326.24311	0.4126
956	59326.26664	0.1885
957	59326.26845	2.0306
958	59326.26958	2.3053
959	59326.27047	0.3229
960	59326.27319	2.8096
961	59326.27803	0.22
962	59326.27933	0.8608
963	59326.28211	4.6211
964	59326.28283	0.5651
965	59326.28336	0.279
966	59326.28415	0.4917
967	59326.28514	0.1427
968	59326.30684	0.3571
969	59326.30691	0.251
970	59326.3093	3.047
971	59326.31255	1.4698
972	59326.31407	5.0214
973	59326.31458	0.2989
974	59326.31492	2.4227
975	59326.31492	0.2019
976	59326.31633	3.9163
977	59326.31846	0.361
978	59326.32988	0.1685
979	59326.33181	0.32
980	59326.33235	0.2384
981	59326.33311	0.193
982	59326.33375	0.489
983	59326.33641	6.297
984	59326.33785	1.8891
985	59326.33835	5.2283
986	59326.33979	1.236
987	59326.34093	0.3902
988	59326.34123	0.2477
989	59326.3431	0.3432
990	59326.34539	1.1922
991	59326.34656	1.1128
992	59326.35183	0.3502
993	59326.35198	1.6784
994	59326.35198	2.5824
995	59326.35258	0.0562
996	59326.35262	0.5509
997	59326.35495	1.3022
998	59326.35835	3.8418
999	59326.35835	0.409
1000	59326.35866	0.0749
1001	59326.36255	0.2907
1002	59326.36303	0.2053
1003	59326.36357	0.0338
1004	59326.36406	1.9339
1005	59326.36444	3.1578
1006	59326.36673	0.4288
1007	59326.36823	2.4554
1008	59326.37034	0.5299
1009	59327.21656	2.3827
1010	59327.21705	0.0274
1011	59327.22348	0.115
1012	59327.23378	4.1091
1013	59327.23612	0.4851
1014	59327.25865	0.9373
1015	59327.25947	0.5605
1016	59327.26019	5.292
1017	59327.26031	0.0422
1018	59327.26178	3.2816
1019	59327.26547	0.5963
1020	59327.26612	0.5066
1021	59327.26806	0.0474
1022	59327.27053	0.2334
1023	59327.27174	0.069
1024	59327.27311	0.3981
1025	59327.27311	5.3304
1026	59327.27311	1.2429
1027	59327.27503	3.1686
1028	59327.27503	3.3862
1029	59327.27595	0.6656
1030	59327.27706	0.1602
1031	59327.27733	1.5978
1032	59327.30002	0.1534
1033	59327.30119	0.0587
1034	59327.3041	0.5237
1035	59327.30744	0.1563
1036	59327.308	1.2643
1037	59327.3087	0.4405
1038	59327.31257	1.4162
1039	59327.31336	0.3394
1040	59327.31764	1.0882
